k,sketch,thr,recovered,precision,oracle_fire,index
3,32,0.4,1515,92.90322580645162,69.25826630920466,946094
3,32,0.5,1253,93.55783308931186,61.036639857015196,946094
3,32,0.6,954,93.41637010676158,50.22341376228776,946094
3,32,0.7,723,93.05555555555556,38.605898123324394,946094
3,32,0.8,557,92.5,32.171581769437,946094
3,96,0.4,1512,92.90322580645162,69.25826630920466,1525270
3,96,0.5,1253,93.55783308931186,61.036639857015196,1525270
3,96,0.6,954,93.41637010676158,50.22341376228776,1525270
3,96,0.7,723,93.05555555555556,38.605898123324394,1525270
3,96,0.8,557,92.5,32.171581769437,1525270
3,256,0.4,1512,92.90322580645162,69.25826630920466,1903426
3,256,0.5,1253,93.55783308931186,61.036639857015196,1903426
3,256,0.6,954,93.41637010676158,50.22341376228776,1903426
3,256,0.7,723,93.05555555555556,38.605898123324394,1903426
3,256,0.8,557,92.5,32.171581769437,1903426
4,32,0.4,1323,92.87790697674419,61.48346738159071,925624
4,32,0.5,1049,92.69565217391305,51.385165326184094,925624
4,32,0.6,809,92.25806451612904,41.55495978552279,925624
4,32,0.7,646,92.74611398963731,34.495084897229674,925624
4,32,0.8,510,92.03539823008849,30.29490616621984,925624
4,96,0.4,1323,92.87790697674419,61.48346738159071,1518274
4,96,0.5,1049,92.69565217391305,51.385165326184094,1518274
4,96,0.6,809,92.25806451612904,41.55495978552279,1518274
4,96,0.7,646,92.74611398963731,34.495084897229674,1518274
4,96,0.8,510,92.03539823008849,30.29490616621984,1518274
4,256,0.4,1322,93.00291545189503,61.304736371760505,1926876
4,256,0.5,1048,92.84467713787086,51.206434316353885,1926876
4,256,0.6,808,92.44060475161987,41.37622877569258,1926876
4,256,0.7,645,92.96875,34.316353887399465,1926876
4,256,0.8,509,92.28486646884274,30.116175156389634,1926876
5,32,0.4,1144,92.64214046822742,53.440571939231454,903181
5,32,0.5,906,92.32283464566929,45.39767649687221,903181
5,32,0.6,731,91.60671462829735,37.26541554959786,903181
5,32,0.7,598,92.34972677595628,32.707774798927616,903181
5,32,0.8,494,91.8918918918919,29.75871313672922,903181
5,96,0.4,1144,92.64214046822742,53.440571939231454,1498237
5,96,0.5,906,92.32283464566929,45.39767649687221,1498237
5,96,0.6,731,91.60671462829735,37.26541554959786,1498237
5,96,0.7,598,92.34972677595628,32.707774798927616,1498237
5,96,0.8,494,91.8918918918919,29.75871313672922,1498237
5,256,0.4,1144,92.64214046822742,53.440571939231454,1924160
5,256,0.5,906,92.32283464566929,45.39767649687221,1924160
5,256,0.6,731,91.60671462829735,37.26541554959786,1924160
5,256,0.7,598,92.34972677595628,32.707774798927616,1924160
5,256,0.8,494,91.8918918918919,29.75871313672922,1924160
