repo,lang,elapsed,date,symbols,S1,S2,S3u,S3a,S4,S5e,GONE,live,auto_pct,plus_pct
hugo,go,25%,2023-02-21,6929,4769,275,223,335,25,48,1254,5675,88.9,93.3
hugo,go,50%,2019-03-25,3925,2058,134,168,237,12,37,1279,2646,82.8,89.6
hugo,go,75%,2016-08-08,1546,143,218,192,193,8,23,769,777,46.5,72.2
cobra,go,25%,2021-07-01,482,431,0,8,1,4,8,30,452,95.4,98.0
cobra,go,50%,2017-07-18,315,179,0,25,8,0,2,101,214,83.6,95.3
cobra,go,75%,2015-11-08,240,91,24,25,9,1,4,86,154,74.7,91.6
gin,go,25%,2021-10-22,1083,1060,0,3,0,3,4,13,1070,99.1,99.6
gin,go,50%,2017-09-04,705,610,18,4,2,1,7,63,642,97.8,98.6
gin,go,75%,2015-05-26,384,311,0,3,9,2,4,55,329,94.5,96.0
vue-core,typescript,25%,2023-12-11,1562,1385,27,24,2,6,2,116,1446,97.6,99.7
vue-core,typescript,50%,2021-07-01,1282,985,125,40,2,6,8,116,1166,95.2,99.1
vue-core,typescript,75%,2020-04-08,910,672,92,41,1,3,7,94,816,93.6,99.0
prettier,typescript,25%,2023-10-08,1272,1119,104,12,26,2,4,5,1267,96.5,97.6
prettier,typescript,50%,2021-06-11,1032,841,114,17,39,3,5,13,1019,93.7,95.7
prettier,typescript,75%,2019-02-26,561,0,546,0,6,5,2,2,559,97.7,98.6
date-fns,typescript,25%,2023-01-21,737,0,689,26,0,2,3,17,720,95.7,99.6
tokio,rust,25%,2023-07-01,7801,7389,115,38,31,47,45,136,7665,97.9,99.0
tokio,rust,50%,2021-01-17,5061,3849,356,123,150,79,87,417,4644,90.5,94.9
tokio,rust,75%,2018-04-08,98,0,5,4,37,4,8,40,58,8.6,22.4
clap,rust,25%,2022-11-29,3956,1911,1660,67,56,45,57,160,3796,94.1,97.0
clap,rust,50%,2021-12-07,2799,1230,390,52,64,91,137,835,1964,82.5,89.8
clap,rust,75%,2018-01-09,1416,0,398,39,50,6,34,889,527,75.5,84.1
serde,rust,25%,2022-01-01,2477,1426,620,51,31,128,42,179,2298,89.0,96.8
serde,rust,50%,2018-01-10,1724,708,682,28,36,63,37,170,1554,89.4,95.3
serde,rust,75%,2016-07-01,1307,0,314,23,81,11,55,823,484,64.9,71.9
django,python,25%,2018-10-01,31143,28325,200,221,130,495,400,1372,29771,95.8,98.2
django,python,50%,2014-02-22,20508,12774,1185,1119,275,809,773,3573,16935,82.4,93.8
django,python,75%,2010-09-12,10615,2746,2290,832,236,353,444,3714,6901,73.0,90.1
scikit-learn,python,25%,2020-04-29,8429,6437,48,162,20,103,153,1506,6923,93.7,97.5
scikit-learn,python,50%,2014-08-04,4498,1358,448,691,48,44,144,1765,2733,66.1,93.0
scikit-learn,python,75%,2012-03-10,2415,490,134,533,51,13,65,1129,1286,48.5,91.0
